object_id,ens_oof_proba,target
Dornhoth_fervain_onodrim,0.01673027,0
Dornhoth_fervain_onodrim,0.017839205,0
Dornhoth_galadh_ylf,0.35170916,0
Dornhoth_galadh_ylf,0.3521536,0
Elrim_melethril_thul,0.007610792,0
Elrim_melethril_thul,0.0070412178,0
Ithil_tobas_rodwen,0.24896038,0
Ithil_tobas_rodwen,0.24860412,0
Mirion_adar_Druadan,0.008071922,0
Mirion_adar_Druadan,0.008089685,0
Mirion_lalaith_neledh,0.009705963,0
Mirion_lalaith_neledh,0.009679818,0
Rochirrim_lebdas_pethron,0.03002959,0
Rochirrim_lebdas_pethron,0.03002959,0
acharn_lend_Mithrim,0.011277193,0
acharn_lend_Mithrim,0.0105896145,0
achas_iar_gaur,0.016011966,0
achas_iar_gaur,0.016426992,0
aduial_nur_luith,0.17961678,0
aduial_nur_luith,0.1946001,0
amath_gwador_helegnen,0.0046521584,0
amath_gwador_helegnen,0.0046593067,0
amlug_loss_ang,0.004720793,0
amlug_loss_ang,0.004720793,0
amon_imloth_luin,0.49962017,1
amon_imloth_luin,0.49962017,1
andrann_puig_fern,0.029161483,0
andrann_puig_fern,0.034558427,0
ang_cugu_harad,0.04704374,0
ang_cugu_harad,0.039036445,0
ang_neledh_aith,0.092520915,0
ang_neledh_aith,0.08552118,0
angos_rusc_curunir,0.012244301,0
angos_rusc_curunir,0.011033424,0
annon_adab_lossen,0.008052526,0
annon_adab_lossen,0.00795707,0
araf_hub_faun,0.043166075,0
araf_hub_faun,0.041061055,0
aras_ryn_manadh,0.012161124,0
aras_ryn_manadh,0.011235963,0
badhor_graw_aiglos,0.002718393,0
badhor_graw_aiglos,0.0035831046,0
badhor_magol_merilin,0.0074815843,0
badhor_magol_merilin,0.006625491,0
badhor_onodrim_alagos,0.009214883,0
badhor_onodrim_alagos,0.007883419,0
baneth_pilin_tachol,0.077500515,0
baneth_pilin_tachol,0.07405921,0
bragol_bronwe_lagor,0.007116844,0
bragol_bronwe_lagor,0.0071126553,0
bragol_nothrim_gas,0.1942305,0
bragol_nothrim_gas,0.1759651,0
celair_aerlinn_aes,0.035671502,0
celair_aerlinn_aes,0.035671502,0
cirion_ira_Ithil,0.057365842,0
cirion_ira_Ithil,0.049714014,0
corch_faun_min,0.33325,0
corch_faun_min,0.374365,0
corf_Mirion_toll,0.008726308,0
corf_Mirion_toll,0.009439999,0
cuin_haudh_cenedril,0.036340848,0
cuin_haudh_cenedril,0.036349643,0
cuin_law_amon,0.04480912,0
cuin_law_amon,0.04282552,0
dam_corch_agar,0.04719421,0
dam_corch_agar,0.047916684,0
dirnaith_achas_noroth,0.023571465,0
