object_id,oof_proba,target
Dornhoth_fervain_onodrim,0.1614583,0
Dornhoth_galadh_ylf,0.52596486,0
Elrim_melethril_thul,0.010306658,0
Ithil_tobas_rodwen,0.47947535,0
Mirion_adar_Druadan,0.5281793,0
Mirion_lalaith_neledh,0.42256,0
Rochirrim_lebdas_pethron,0.5859802,0
acharn_lend_Mithrim,0.55913013,0
achas_iar_gaur,0.43583438,0
aduial_nur_luith,0.35844555,0
amath_gwador_helegnen,0.47718528,0
amlug_loss_ang,0.11954583,0
amon_imloth_luin,0.47875786,1
andrann_puig_fern,0.5491474,0
ang_cugu_harad,0.4839683,0
ang_neledh_aith,0.5230834,0
angos_rusc_curunir,0.55565447,0
annon_adab_lossen,0.25084865,0
araf_hub_faun,0.5462751,0
aras_ryn_manadh,0.55095845,0
badhor_graw_aiglos,0.41740054,0
badhor_magol_merilin,0.391352,0
badhor_onodrim_alagos,0.55483097,0
baneth_pilin_tachol,0.55760515,0
bragol_bronwe_lagor,0.47683746,0
bragol_nothrim_gas,0.3939562,0
celair_aerlinn_aes,0.47890174,0
cirion_ira_Ithil,0.55199397,0
corch_faun_min,0.53727406,0
corf_Mirion_toll,0.5156279,0
cuin_haudh_cenedril,0.51316917,0
cuin_law_amon,0.51963854,0
dam_corch_agar,0.5083531,0
dirnaith_achas_noroth,0.48609063,0
drafn_araf_ryn,0.5420911,1
eilian_pilin_fang,0.57341033,0
eilian_pod_firiel,0.5904567,0
elu_rusc_nath,0.48624018,1
elvellon_fast_annon,0.5224717,0
ennorath_guldur_aear,0.53209823,0
erchion_ungol_aduial,0.54057544,0
espalass_melethron_ungol,0.46473002,0
espalass_nestad_hul,0.52156496,0
fae_haeron_merilin,0.52652985,0
fang_ira_nell,0.5471735,0
fast_ang_lebenedh,0.4675795,0
fast_celeb_bregedur,0.6136133,0
firiel_lend_mithril,0.2547593,0
fuin_bragol_talraph,0.54554206,0
galad_thangail_pethron,0.53904027,0
gas_cair_gondrath,0.5845142,0
gas_glaur_daen,0.56101114,0
gaurwaith_Ithil_rhach,0.043516923,0
gli_lembas_galadhrim,0.54297996,0
gond_aduial_suil,0.5854535,0
gond_pent_Dornhoth,0.53823924,0
gondrath_saer_rach,0.45261663,0
graw_heledir_lunt,0.4426862,0
graw_idhren_narthan,0.45906958,0
gul_braig_baug,0.5087469,0
gwador_thurin_hal,0.3984678,0
gwathui_adan_barad,0.52586687,0
gwilwileth_aegas_ah,0.54282355,0
gwilwileth_ungol_aegas,0.45591947,0
hand_gwathui_alae,0.47922033,0
hand_parf_gwathui,0.40265837,0
helegnen_luith_raug,0.5550355,0
helegnen_tathar_hend,0.45159674,0
hervess_calad_firiel,0.54080856,0
hervess_hend_lam,0.5237362,1
hud_fast_hend,0.5750768,0
imrad_achas_glamor,0.4948571,1
imrad_nothrim_Sindarin,0.5172007,0
ingem_hub_lembas,0.5365371,0
ingem_lost_acharn,0.47703126,0
ist_acharn_pendrath,0.5321474,0
lagor_narthan_mindon,0.5433793,0
lang_lalaith_meldir,0.53613657,0
law_minuial_cabor,0.49336442,0
lebdas_adab_aglareb,0.54061544,0
limlug_mindon_iar,0.52733463,0
limlug_pess_gwend,0.5166137,0
lobor_mithren_fang,0.56653523,0
lossen_pess_duin,0.5716,0
lost_ungol_draug,0.55110896,0
luith_gobennas_ang,0.19222455,0
luith_saig_aranarth,0.48911968,0
luithien_mindon_eirien,0.5455818,0
maethor_meldir_rhosc,0.42523476,0
magor_elvellon_caras,0.55593014,0
malad_saer_balrog,0.5346346,0
manadh_gaurwaith_lalaith,0.40395874,0
melethron_panas_aeglir,0.55804396,0
mereth_aiglos_ram,0.4164348,0
mindon_helegnen_galad,0.5299697,0
mithril_suil_cugu,0.57171625,1
myril_thurin_ist,0.3370131,0
nadhras_pethron_ulug,0.56144065,0
narthan_cugu_mir,0.582665,0
neledh_eglan_gwaloth,0.52221614,0
nestad_agarwaen_saer,0.4781725,0
nimbrethil_adab_maethor,0.5722801,0
nur_nidh_fuin,0.54273695,0
ogol_saig_adab,0.41250676,0
onodrim_hervess_firion,0.5574707,0
paich_Mirion_aeruil,0.45407152,0
paich_erchion_ablad,0.37141892,0
paich_graw_haradrim,0.5387985,0
panas_lalaith_bronwe,0.55294436,0
parf_per_ruith,0.31271058,0
pendrath_Gwathuirim_Elrim,0.5267853,0
pent_agor_bronwe,0.5265812,1
per_hwiniol_nimbrethil,0.3453548,0
perian_gwend_gwilwileth,0.43103102,0
perian_mir_balrog,0.5606649,0
pethron_corf_menel,0.57508224,0
raef_hud_baug,0.5757788,1
ram_thavron_rusc,0.5822662,1
rhach_bellas_alae,0.52858436,0
rhun_mir_magol,0.57139426,0
riel_glae_gellui,0.5239341,0
riel_glass_lasguil,0.45457572,0
riel_nadhras_firiel,0.56163985,0
ris_hul_minas,0.48221782,0
ris_perian_Tawarwaith,0.5334035,0
rist_anwar_amlug,0.5503801,0
roch_hal_eryn,0.4276211,0
roch_magol_luin,0.4686444,0
