object_id,g__n_obs,i__n_obs,r__n_obs,u__n_obs,y__n_obs,z__n_obs,g__flux_mean,i__flux_mean,r__flux_mean,u__flux_mean,y__flux_mean,z__flux_mean,g__flux_std,i__flux_std,r__flux_std,u__flux_std,y__flux_std,z__flux_std,g__min_flux,i__min_flux,r__min_flux,u__min_flux,y__min_flux,z__min_flux,g__max_flux,i__max_flux,r__max_flux,u__max_flux,y__max_flux,z__max_flux,g__amp,i__amp,r__amp,u__amp,y__amp,z__amp,g__snr_mean,i__snr_mean,r__snr_mean,u__snr_mean,y__snr_mean,z__snr_mean,g__frac_snr_gt3,i__frac_snr_gt3,r__frac_snr_gt3,u__frac_snr_gt3,y__frac_snr_gt3,z__frac_snr_gt3,g__frac_snr_gt5,i__frac_snr_gt5,r__frac_snr_gt5,u__frac_snr_gt5,y__frac_snr_gt5,z__frac_snr_gt5,g__time_span,i__time_span,r__time_span,u__time_span,y__time_span,z__time_span
Dornhoth_fervain_onodrim,6.0,15.0,16.0,5.0,11.0,12.0,-0.5230112671445277,2.5083990711422612,1.3564773018168168,0.8937660515138649,-0.4492191161175907,1.4480920850110233,0.8661928424533403,7.268269733615269,3.9571171657580293,1.565012715507566,2.753424317446173,8.270421781279634,-1.194547788134296,-2.623439718946849,-1.6757881082744035,0.000666282643034091,-3.081229636870584,-2.933047924799829,1.3757829221201299,27.26513981711298,13.25452109286973,4.019235135330725,6.557836427054477,28.57338345657654,2.570330710254426,29.88857953605983,14.930309201144134,4.018568852687691,9.63906606392506,31.50643138137637,8.934088629197172,18.03030190496938,14.347225513019586,1.769649654848362,1.6164078714854697,8.571627670804096,1.0,0.8,0.875,0.2,0.09090909090909091,0.5,0.8333333333333334,0.6,0.6875,0.2,0.0,0.25,695.3506999999954,1144.2479999999996,1188.2574999999997,849.384100000003,1241.0691000000006,1241.0691000000006
Dornhoth_galadh_ylf,16.0,37.0,35.0,15.0,29.0,35.0,0.21493521415511097,0.3872060393663942,0.31059489320007544,0.03381050932301268,0.7488051559981049,0.5646990938230666,0.4182639124075699,1.0454052167608596,0.7327872091314745,0.6821924359239131,2.606119305449675,1.5745916896830263,-0.33525330825585453,-0.40940254211655136,-0.4205056523595006,-1.00028719609806,-1.8528198391567468,-1.1648352149379633,1.4909851947745796,5.686825935478561,2.9634521334059394,1.3272607842242592,12.063976245934192,7.749552412460845,1.8262385030304342,6.096228477595113,3.38395778576544,2.3275479803223194,13.916796085090938,8.914387627398808,2.3877694828911533,1.9606765679370226,1.8397991371126072,1.3248835119060842,1.2889109241796533,1.7787803133689508,0.25,0.10810810810810811,0.11428571428571428,0.0,0.034482758620689655,0.08571428571428572,0.0625,0.08108108108108109,0.11428571428571428,0.0,0.034482758620689655,0.05714285714285714,2290.2643000000025,2272.291400000002,2241.4806000000026,2246.615700000002,2362.1559999999954,2297.966999999997
Elrim_melethril_thul,9.0,6.0,5.0,5.0,2.0,8.0,3.1362897435337684,6.4264733872888415,4.416292832583685,0.056412605687036696,0.0586127696583727,8.003665170287663,2.3576853687856216,6.502117424768594,2.9489971947313327,2.7314141753682177,11.543199221647338,3.6410204599505738,0.21965984864720364,-7.371527491519362,1.6621136419193592,-3.9882979408925414,-11.484586451988966,2.4034133915566445,7.254487060310192,12.188963954312896,9.339911753208959,3.425815720376204,11.601811991305711,13.205693195121999,7.034827211662988,19.56049144583226,7.6777981112896,7.414113661268745,23.086398443294676,10.802279803565355,36.92461468097024,26.898811515265333,29.153638191420317,9.238035077280225,10.289962161160423,17.372455874859693,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,0.875,498.8938999999955,1203.852700000003,492.386599999998,498.8938999999955,767.8628000000026,1093.2284
Ithil_tobas_rodwen,134.0,160.0,149.0,108.0,115.0,132.0,0.28885288227674255,0.4541817126619854,0.4460675515994312,0.16024909005247442,0.3474663482637695,0.5388386256594899,0.3607662279792461,0.6389883091675249,0.5352078006510841,0.46010981910990373,1.8201742256910964,0.7146718054139923,-0.4752471789487918,-0.7732150573952669,-0.7189237189437233,-1.5244486006857743,-7.735291773555419,-1.2665953619882937,1.4202034766618026,2.260806161692307,1.913601684655993,1.684302942794649,5.419308399333228,3.0295999105713083,1.8954506556105943,3.034021219087574,2.632525403599716,3.2087515434804232,13.154600172888646,4.296195272559602,2.897812813152132,2.519789863623035,3.3526905033670533,1.13236376563307,1.0366868573830024,1.689550013902878,0.35074626865671643,0.30625,0.4161073825503356,0.009259259259259259,0.02608695652173913,0.12121212121212122,0.1791044776119403,0.1375,0.24161073825503357,0.0,0.0,0.03787878787878788,2849.8205000000016,2849.8205000000016,2826.9074000000037,2858.4128999999957,2841.2281000000003,2835.499799999998
Mirion_adar_Druadan,14.0,28.0,33.0,13.0,14.0,27.0,0.05510947341589129,0.4204416536574364,0.23699518654587673,-0.01760573726845826,0.3055018743785113,0.3176192723341405,0.9242420058164424,1.4519363958425653,1.2010765821810638,0.5086371428446923,1.7417503529089295,1.156063258304611,-1.3099713969854696,-1.4028419315866598,-1.8058489236914066,-1.037340048102035,-3.2456229389818,-2.53789562571191,1.766450811334385,5.896338364788682,2.6526277686401487,0.663828389839333,2.5139897831340305,2.8960078727972713,3.0764222083198547,7.299180296375342,4.458476692331555,1.701168437941368,5.759612722115831,5.433903498509181,6.7090560314750505,3.143702464941179,6.412809170140273,1.1421723559775487,1.402779410978628,2.0440904288749437,0.8571428571428571,0.5,0.696969696969697,0.0,0.0,0.18518518518518517,0.7857142857142857,0.21428571428571427,0.5151515151515151,0.0,0.0,0.037037037037037035,2184.6350999999995,2184.6350999999995,2202.306500000006,1859.9219000000012,1809.1164000000063,1901.8915999999954
Mirion_lalaith_neledh,13.0,26.0,32.0,8.0,20.0,20.0,0.9499150550030764,1.3069810391108732,1.0626629857562322,0.5204035444296335,0.9789261911059125,1.490952602474994,0.4206853002789552,1.0478038673084293,0.6176882888648593,0.3549439516382114,2.364236497591327,0.9862370955734435,0.2915473496913183,-0.8258783872834964,0.15489761150663403,-0.02939832192992399,-6.708983524668921,-0.12069476138090462,1.564398099645245,3.274249970336025,2.7665913157823168,0.9678116758644818,4.757856038469159,3.436076633020988,1.2728507499539266,4.100128357619521,2.611693704275683,0.9972099977944058,11.46683956313808,3.556771394401893,7.886408189243941,5.079758009292362,5.668827797662083,1.4527963538604092,1.2164453263085218,2.8569015472598958,0.9230769230769231,0.6153846153846154,0.71875,0.0,0.05,0.45,0.6923076923076923,0.4230769230769231,0.46875,0.0,0.0,0.2,1841.5512999999992,1998.8989999999976,1894.000500000002,1832.809699999998,1894.000500000002,1949.3636000000042
Rochirrim_lebdas_pethron,15.0,36.0,27.0,11.0,15.0,34.0,0.07797833594997718,0.419751247457296,0.3215701075138537,0.0883227296671769,0.23153123825366073,0.4743910705980428,0.21733802329159232,0.8498591973649957,0.4678265359337962,0.6210742981363955,0.9958533256847912,0.7162146303167133,-0.1819276569889478,-0.7960131014152356,-0.3415960402280378,-0.9195239023134117,-1.90635037255424,-0.7150327096265497,0.5972266363256717,2.432752828638863,1.3640847271171375,1.1435940294159204,2.06281646205071,2.138297644672984,0.7791542933146196,3.2287659300540987,1.7056807673451753,2.063117931729332,3.96916683460495,2.853330354299534,1.5980807034129774,2.3350130072124036,3.2061163550500376,1.5339875716312383,0.7170077660236323,1.488421551077585,0.13333333333333333,0.16666666666666666,0.2962962962962963,0.0,0.0,0.11764705882352941,0.06666666666666667,0.16666666666666666,0.2222222222222222,0.0,0.0,0.058823529411764705,1555.7904000000053,1562.2016999999978,1615.6285999999964,1598.5319999999992,1557.927499999998,1557.9276000000027
acharn_lend_Mithrim,9.0,21.0,26.0,7.0,19.0,26.0,1.8305478938531508,2.4466441053111447,3.1259338052017824,1.5465814803190565,3.000793345943586,2.583241351987499,1.498101808915674,2.5789225885550926,2.3389752974079294,1.2256290671551484,3.1265285470855617,2.4035116943310912,-1.1078277680075976,-1.4784882980334857,-1.4497664899816334,-0.6217904984568434,-2.385265185654474,-1.5754250744598173,3.8238129435924972,7.046730948555766,8.634713773331297,2.935538227597049,10.042741087058992,6.584472281729311,4.931640711600095,8.525219246589252,10.08448026331293,3.5573287260538926,12.428006272713466,8.159897356189129,17.055796626565407,11.10429918787118,18.00325087553348,4.337361870944157,3.0087788423038346,5.4045687711507515,1.0,0.8095238095238095,0.9615384615384616,0.7142857142857143,0.42105263157894735,0.6538461538461539,1.0,0.6190476190476191,0.8461538461538461,0.42857142857142855,0.21052631578947367,0.46153846153846156,1042.4749999999985,1417.6886999999988,1460.2387000000017,630.5137000000032,1442.8318,1406.0841
achas_iar_gaur,12.0,36.0,40.0,12.0,24.0,38.0,0.015253956638551705,0.011297906836299422,0.6290514536009151,0.10636265689480301,-0.47004334745752363,-0.07117945251408013,0.11498405613757501,0.3268116883444731,0.3592689435224259,0.17680618181098806,1.3791595317794236,0.7079079782460613,-0.2045273786351512,-0.7718770006109588,-0.52599225769753,-0.12741485097661692,-4.467020858915682,-1.334616766274498,0.21656669891943328,0.6765903263159886,1.1415246714771203,0.4545420326094938,2.213925850321995,2.625792554880871,0.4210940775545845,1.4484673269269472,1.6675169291746503,0.5819568835861106,6.680946709237677,3.9604093211553693,0.879061312668796,0.8532225573489636,3.9414572706497126,0.5631773318328476,0.9606758276935145,0.8050466743601434,0.0,0.0,0.575,0.0,0.041666666666666664,0.0,0.0,0.0,0.35,0.0,0.0,0.0,1887.6612999999998,2344.7364000000016,2294.2801000000036,2217.111499999999,2267.567900000002,2050.902399999999
aduial_nur_luith,8.0,23.0,25.0,5.0,19.0,23.0,0.23431041930738417,0.49109262870567844,0.5594685042593841,0.4156301493598316,0.7499453086990051,0.4441944237524708,0.44603390794190706,0.7245987821725324,0.7500475250976371,0.4404893848721527,1.169955394103781,1.1136274092664005,-0.3021269037767933,-0.562838689064783,-0.5972103440005327,-0.1389533607007546,-1.076980266567864,-1.8685781281340719,1.311666557553785,2.2913300536393257,2.021031510253645,1.1543116935548345,3.012026256808278,2.7610881524039463,1.6137934613305782,2.8541687427041085,2.618241854254178,1.2932650542555892,4.089006523376142,4.629666280538018,3.2076850608561496,1.9588278060971789,4.02807364564847,1.4801334380029176,0.783564951513996,1.6420904530251175,0.375,0.17391304347826086,0.52,0.2,0.0,0.17391304347826086,0.125,0.13043478260869565,0.28,0.0,0.0,0.043478260869565216,2507.5266000000047,2574.4464000000007,2542.954700000002,2153.244899999998,2806.697699999997,2806.697699999997
