object_id,oof_proba,target
Dornhoth_fervain_onodrim,0.0007344132,0
Dornhoth_galadh_ylf,0.23850891,0
Elrim_melethril_thul,0.0015809749,0
Ithil_tobas_rodwen,0.030130316,0
Mirion_adar_Druadan,0.0015129735,0
Mirion_lalaith_neledh,0.0010391225,0
Rochirrim_lebdas_pethron,0.0021072575,0
acharn_lend_Mithrim,0.0017679582,0
achas_iar_gaur,0.0008236395,0
aduial_nur_luith,0.029877905,0
amath_gwador_helegnen,0.00013617484,0
amlug_loss_ang,0.00039757797,0
amon_imloth_luin,0.21954048,1
andrann_puig_fern,0.006202142,0
ang_cugu_harad,0.0239401,0
ang_neledh_aith,0.03812133,0
angos_rusc_curunir,0.0069096517,0
annon_adab_lossen,0.0022547084,0
araf_hub_faun,0.01777948,0
aras_ryn_manadh,0.0034964525,0
badhor_graw_aiglos,0.00016247408,0
badhor_magol_merilin,0.0026593038,0
badhor_onodrim_alagos,0.0034403729,0
baneth_pilin_tachol,0.028768828,0
bragol_bronwe_lagor,0.001057739,0
bragol_nothrim_gas,0.05890175,0
celair_aerlinn_aes,0.0011502566,0
cirion_ira_Ithil,0.018331276,0
corch_faun_min,0.015811367,0
corf_Mirion_toll,0.0009266688,0
cuin_haudh_cenedril,0.0032578679,0
cuin_law_amon,0.0068054753,0
dam_corch_agar,0.00043685606,0
dirnaith_achas_noroth,0.0019908398,0
drafn_araf_ryn,0.9676409,1
eilian_pilin_fang,0.009989756,0
eilian_pod_firiel,0.022597194,0
elu_rusc_nath,0.60383797,1
elvellon_fast_annon,0.026261399,0
ennorath_guldur_aear,0.00057564344,0
erchion_ungol_aduial,0.000981193,0
espalass_melethron_ungol,0.0006884498,0
espalass_nestad_hul,0.018230759,0
fae_haeron_merilin,0.07249694,0
fang_ira_nell,0.005333238,0
fast_ang_lebenedh,0.0030231809,0
fast_celeb_bregedur,0.002719089,0
firiel_lend_mithril,0.02715238,0
fuin_bragol_talraph,0.0006460136,0
galad_thangail_pethron,0.00034251518,0
gas_cair_gondrath,0.881574,0
gas_glaur_daen,0.12612735,0
gaurwaith_Ithil_rhach,0.0011827191,0
gli_lembas_galadhrim,0.006407627,0
gond_aduial_suil,0.0031147827,0
gond_pent_Dornhoth,0.14380072,0
gondrath_saer_rach,0.08654661,0
graw_heledir_lunt,0.00018691957,0
graw_idhren_narthan,0.0070922426,0
gul_braig_baug,0.0040142033,0
gwador_thurin_hal,0.08014842,0
gwathui_adan_barad,0.0027950946,0
gwilwileth_aegas_ah,0.0013250692,0
gwilwileth_ungol_aegas,0.18663974,0
hand_gwathui_alae,0.0023451075,0
hand_parf_gwathui,0.000240835,0
helegnen_luith_raug,0.026869474,0
helegnen_tathar_hend,0.0023111182,0
hervess_calad_firiel,0.12429288,0
hervess_hend_lam,0.9477759,1
hud_fast_hend,0.017653527,0
imrad_achas_glamor,0.9494158,1
imrad_nothrim_Sindarin,0.006169038,0
ingem_hub_lembas,0.52825344,0
ingem_lost_acharn,0.0003488143,0
ist_acharn_pendrath,0.027173048,0
